artwork_reference_number,title,artwork_description,artwork_sort_order,artwork_year,drupal_url,body_text,link,drupal_nid,drupal_post_date,published,artwork_url_original,artwork_url_thumbnail
227,Central Park pond,82 x 108 in | 208 x 274 cm,,2019,/artwork/central-park-pond,,/artwork/central-park-pond,260,1/24/19 19:17,Yes,http://www.enaswansea.com/sites/default/files/artwork/227/227centralparkpondforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/227/227centralparkpondforwebsite.jpg
228,into the tress,40 x 86 in | 102 x 218 cm,,2019,/artwork/into-the-tress,,/artwork/into-the-tress,261,1/24/19 19:18,Yes,http://www.enaswansea.com/sites/default/files/artwork/228/228intothetreesadjforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/228/228intothetreesadjforwebsite.jpg
229,sitting onnagata,48 x 72 in | 122 x 183 cm,,2019,/artwork/sitting-onnagata,,/artwork/sitting-onnagata,262,1/24/19 19:29,Yes,http://www.enaswansea.com/sites/default/files/artwork/229/229sittingonnagataforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/229/229sittingonnagataforwebsite.jpg
18,boy with a sword,"oil on graphite on linen, 96 x 72 in (244 x 183 cm)",0,2003,/artwork/boy-with-a-sword,"oil on graphite on linen, 96 x 72 in (244 x 183 cm)",/artwork/boy-with-a-sword,127,9/24/10 20:55,Yes,http://www.enaswansea.com/sites/default/files/artwork/18/18boywithasword.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/18/18boywithasword.jpg
51,agent,96 x 60 in (244 x 152.4 cm),0,2004,/artwork/agent,"oil on graphite on linen, 96 x 60 in (244 x 152.4 cm)",/artwork/agent,94,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/51/51agent.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/51/51agent.jpg
65,bee rider,72 x 96 in (182.9 x 234.8 cm),0,2005,/artwork/bee-rider,"oil on graphite on linen, 72 x 96 in (182.9 x 234.8 cm)",/artwork/bee-rider,80,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/65/65beerider.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/65/65beerider.jpg
85,watching TV,72 x 96 in (182.88 x 243.84 cm),0,2006,/artwork/watching-tv,"oil on graphite on linen, 72 x 96 in (182.88 x 243.84 cm)",/artwork/watching-tv,60,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/85/87watchingtv150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/85/87watchingtv150.jpg
89,slow man,78 x 96 in (198.1 x 243.8 cm),0,2007,/artwork/slow-man,"oil on graphite on linen, 78 x 96 in (198.1 x 243.8 cm)",/artwork/slow-man,56,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/89/91slowman150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/89/91slowman150.jpg
100,Kembra 2,48.5 x 84.25 in (123.19 x 233 cm),0,2008,/artwork/kembra-2,"oil on graphite on linen, 48.5 x 84.25 in (123.19 x 233 cm)",/artwork/kembra-2,45,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/100/103kembra2150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/100/103kembra2150.jpg
111,rug rats,114 x 90 in (289.6 x 228.6 cm),0,2009,/artwork/rug-rats,"oil on graphite on linen, 114 x 90 in (289.6 x 228.6 cm)",/artwork/rug-rats,34,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/111/114rugrats150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/111/114rugrats150.jpg
